Metadata Code,Metadata Description
TOT_PERS1115jul,Usually resident persons
OCC_HH1115jul,Usually resident households
X_BNG1115jul,Postcode easting (British National Grid/OSGB 1936/EPSG
Y_BNG1115jul,Postcode northing (British National Grid/OSGB 1936/EPSG

